City_ID,City,Lat,Lng,Current Weather,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
78,Bluff,-46.6,168.3333,overcast clouds,39.79,89,89,9.06,NZ,2021-08-01 18:58:15
79,Carballo,43.213,-8.691,overcast clouds,64.9,93,100,4.32,ES,2021-08-01 18:55:25
80,Port Blair,11.6667,92.75,heavy intensity rain,81.86,81,100,18.63,IN,2021-08-01 19:03:30
81,Yumen,40.2833,97.2,overcast clouds,70.56,39,100,17.27,CN,2021-08-01 19:03:08
82,Hithadhoo,-0.6,73.0833,overcast clouds,81.45,71,97,5.3,MV,2021-08-01 18:58:13
83,Waddan,29.1614,16.139,clear sky,94.33,11,0,13.18,LY,2021-08-01 19:04:17
84,Te Anau,-45.4167,167.7167,overcast clouds,40.71,92,95,1.3,NZ,2021-08-01 18:55:13
85,Langxiang,46.95,128.8833,light rain,70.43,99,100,1.63,CN,2021-08-01 19:04:17
86,Gravdal,68.1214,13.5031,scattered clouds,47.88,81,40,10.36,NO,2021-08-01 19:04:17
87,Pisco,-13.7,-76.2167,haze,65.01,77,40,9.22,PE,2021-08-01 18:58:36
88,Andrews,32.3187,-102.5457,broken clouds,82.42,61,75,0.0,US,2021-08-01 19:04:18
89,Adre,13.4667,22.2,overcast clouds,68.32,89,100,16.98,TD,2021-08-01 19:04:18
90,Igbo Ora,7.4333,3.2833,light rain,75.69,82,85,4.88,NG,2021-08-01 19:04:19
91,Khatanga,71.9667,102.5,broken clouds,62.56,67,68,8.55,RU,2021-08-01 18:58:48
92,Vestmannaeyjar,63.4427,-20.2734,mist,52.79,100,90,9.22,IS,2021-08-01 18:59:40
93,Reconquista,-29.15,-59.65,clear sky,69.44,31,0,5.23,AR,2021-08-01 19:04:19
94,Florenville,49.6998,5.3074,overcast clouds,61.11,93,92,3.42,BE,2021-08-01 19:04:20
95,Praia Da Vitoria,38.7333,-27.0667,overcast clouds,77.76,87,98,18.5,PT,2021-08-01 19:04:20
96,Prince Albert,53.2001,-105.7677,overcast clouds,87.6,21,100,3.89,CA,2021-08-01 19:01:06
97,Ust-Tsilma,65.441,52.1498,broken clouds,51.78,90,52,2.15,RU,2021-08-01 19:04:21
98,Mumford,5.2618,-0.759,clear sky,75.99,88,10,8.39,GH,2021-08-01 18:54:29
99,Praia,14.9215,-23.5087,scattered clouds,81.14,54,40,13.8,CV,2021-08-01 19:04:21
100,Cidreira,-30.1811,-50.2056,overcast clouds,59.74,76,92,8.28,BR,2021-08-01 18:58:17
101,Ugoofaaru,5.6667,73.0,overcast clouds,82.89,73,100,12.84,MV,2021-08-01 18:56:40
102,Clyde River,70.4692,-68.5914,overcast clouds,39.51,87,100,6.08,CA,2021-08-01 19:03:11
103,Coihaique,-45.5752,-72.0662,broken clouds,47.37,80,58,12.06,CL,2021-08-01 19:04:22
104,Madona,56.8533,26.217,overcast clouds,61.45,81,100,5.06,LV,2021-08-01 19:04:22
105,Rocky Mountain House,52.3668,-114.9188,overcast clouds,91.94,22,87,10.25,CA,2021-08-01 19:04:22
106,Bathsheba,13.2167,-59.5167,clear sky,83.82,68,4,11.54,BB,2021-08-01 19:03:36
107,Kirakira,-10.4544,161.9205,overcast clouds,73.89,85,100,7.94,SB,2021-08-01 18:56:52
108,Sambava,-14.2667,50.1667,light rain,68.95,90,85,12.19,MG,2021-08-01 19:04:23
109,Aneho,6.2333,1.6,scattered clouds,77.29,82,28,10.54,TG,2021-08-01 19:04:23
110,Mayo,38.8876,-76.5119,moderate rain,78.42,91,90,3.0,US,2021-08-01 19:03:06
111,Hami,42.8,93.45,broken clouds,69.06,45,80,8.16,CN,2021-08-01 19:03:05
112,Sinnamary,5.3833,-52.95,broken clouds,81.36,78,54,9.15,GF,2021-08-01 19:04:24
113,Sartell,45.6216,-94.2069,scattered clouds,79.45,39,40,3.0,US,2021-08-01 19:04:24
114,Hilo,19.7297,-155.09,overcast clouds,76.62,89,93,9.08,US,2021-08-01 18:58:22
115,Lebu,-37.6167,-73.65,clear sky,54.34,67,6,17.74,CL,2021-08-01 18:58:27
116,Sembakung,3.8167,117.25,moderate rain,73.29,99,100,2.42,ID,2021-08-01 19:04:24
