City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
90,Igbo Ora,NG,75.69,light rain,7.4333,3.2833,Pinkbell Inn
91,Khatanga,RU,62.56,broken clouds,71.9667,102.5,"Gostinitsa ""Zapolyar'ye"""
92,Vestmannaeyjar,IS,52.79,mist,63.4427,-20.2734,Glamping & Camping
93,Reconquista,AR,69.44,clear sky,-29.15,-59.65,Grand Hotel
94,Florenville,BE,61.11,overcast clouds,49.6998,5.3074,La Roseraie. Gaume-Ardenne-lacuisine sur Semois.
95,Praia Da Vitoria,PT,77.76,overcast clouds,38.7333,-27.0667,Hotel Branco I
96,Prince Albert,CA,87.6,overcast clouds,53.2001,-105.7677,"Holiday Inn Express & Suites Prince Albert, an IHG Hotel"
97,Ust-Tsilma,RU,51.78,broken clouds,65.441,52.1498,U Praskov'i
98,Mumford,GH,75.99,clear sky,5.2618,-0.759,Spanish Villa
99,Praia,CV,81.14,scattered clouds,14.9215,-23.5087,LT Aparthotel
100,Cidreira,BR,59.74,overcast clouds,-30.1811,-50.2056,Hotel Castelo
101,Ugoofaaru,MV,82.89,overcast clouds,5.6667,73.0,Ungoofaaru Inn
104,Madona,LV,61.45,overcast clouds,56.8533,26.217,"Madonas viesnica , SIA"
106,Bathsheba,BB,83.82,clear sky,13.2167,-59.5167,Atlantis Hotel
107,Kirakira,SB,73.89,overcast clouds,-10.4544,161.9205,SanBiz Lodge
108,Sambava,MG,68.95,light rain,-14.2667,50.1667,Melrose
109,Aneho,TG,77.29,scattered clouds,6.2333,1.6,Hotel La Linette
110,Mayo,US,78.42,moderate rain,38.8876,-76.5119,Resorts Resource Group International
111,Hami,CN,69.06,broken clouds,42.8,93.45,Laoyutang Resort
112,Sinnamary,GF,81.36,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
113,Sartell,US,79.45,scattered clouds,45.6216,-94.2069,AmericInn by Wyndham Sartell
114,Hilo,US,76.62,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
115,Lebu,CL,54.34,clear sky,-37.6167,-73.65,Hostal Las Lilas
117,Kenora,CA,74.59,smoke,49.8167,-94.4337,Maynard Lake Lodge
118,Camocim,BR,88.45,overcast clouds,-2.9022,-40.8411,Hotel Ilha do Amor
119,Tarnogskiy Gorodok,RU,60.1,overcast clouds,60.4997,43.5761,Hotel Rus
120,Ntcheu,MW,61.7,overcast clouds,-14.8203,34.6359,Dear Executive Lodge
122,Starokostyantyniv,UA,71.2,clear sky,49.7576,27.2034,Lider
123,Tiarei,PF,78.82,scattered clouds,-17.5333,-149.3333,Le Rocher de Tahiti
124,Luena,AO,60.76,clear sky,-11.7833,19.9167,Hotel Kandamba
128,Newport,GB,67.68,broken clouds,51.5877,-2.9984,ibis budget Newport
129,Mochumi,PE,69.58,clear sky,-6.5469,-79.8631,Hospedaje La Posada del Sol
130,Souillac,MU,71.98,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
131,Zhigansk,RU,60.69,scattered clouds,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
132,Port Alfred,ZA,61.83,few clouds,-33.5906,26.891,The Halyards Hotel
133,Broome,US,76.35,overcast clouds,42.2506,-75.833,Chenango Valley State Park
138,Iqaluit,CA,55.13,light rain,63.7506,-68.5145,Frobisher Inn
139,Gainesville,US,89.6,scattered clouds,29.6516,-82.3248,"Holiday Inn Gainesville-University Ctr, an IHG Hotel"
140,Plettenberg Bay,ZA,56.75,few clouds,-34.0527,23.3716,Thanda Vista B&B
141,Christchurch,NZ,51.91,broken clouds,-43.5333,172.6333,The George
143,Galesong,ID,77.02,broken clouds,-5.3166,119.3661,Sapriadi Appy
144,Reichenau,PL,61.88,overcast clouds,50.9075,14.9563,Rychło. Hotel
145,Shache,CN,76.78,overcast clouds,38.4167,77.2406,Delong Hotel
146,Nikolskoye,RU,64.4,clear sky,59.7035,30.7861,Tourist House - Sablino
147,Moose Factory,CA,63.52,scattered clouds,51.2585,-80.6094,Moosonee Lilypad
149,Solnechnyy,RU,51.39,overcast clouds,50.7214,136.6319,Hotel complex Pastoral
150,The Valley,AI,87.66,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
151,Grand Forks,US,80.53,haze,47.9417,-97.4337,Warrior Inn
154,Mulchen,CL,64.26,clear sky,-37.7167,-72.2333,Hotel Los Maitenes de Villalón
155,Kahului,US,78.96,few clouds,20.8947,-156.47,Maui Seaside Hotel
156,Praya,CV,82.94,scattered clouds,14.9215,-23.5087,LT Aparthotel
157,Bambous Virieux,MU,71.85,light rain,-20.3428,57.7575,Casa Tia Villa
159,Acapulco,MX,87.62,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
161,Mahebourg,MU,70.25,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
162,Paka,MY,76.93,overcast clouds,4.6374,103.4368,RUMBIA RESORT VILLA
163,Valle Nacional,MX,88.83,broken clouds,17.7833,-96.3167,Cabaña San Mateo Yetla
165,Niquero,CU,86.38,light rain,20.0431,-77.5828,Islazul Niquero
166,Kruisfontein,ZA,56.88,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
170,Neyyattinkara,IN,80.46,overcast clouds,8.4,77.0833,P.W.D. Rest House
171,Carnarvon,AU,58.26,clear sky,-24.8667,113.6333,Hospitality Carnarvon
172,Hoquiam,US,68.43,overcast clouds,46.9809,-123.8893,Econo Lodge Inn & Suites
